epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,148.108,0.50166,0.86575,0.93916,0.83216,0.82745,0.77969,0.65972,0.71895,2.0742,1.13397,0.000502444,0.000502444,0.000502444
31,153.036,0.4792,0.81609,1.0176,0.83216,0.82745,0.77969,0.65972,0.71895,2.0742,1.13397,0.00049532,0.00049532,0.00049532
32,157.823,0.50197,1.0014,0.97521,0.83216,0.82745,0.77969,0.65972,0.71895,2.0742,1.13397,0.000486612,0.000486612,0.000486612
33,162.924,0.49679,0.83225,0.97846,0.828,0.83333,0.77965,0.67369,0.68165,2.06042,1.14584,0.00047632,0.00047632,0.00047632
34,167.386,0.47231,0.84929,0.9685,0.828,0.83333,0.77965,0.67369,0.68165,2.06042,1.14584,0.000464444,0.000464444,0.000464444
35,172.109,0.43222,0.78288,0.95124,0.828,0.83333,0.77965,0.67369,0.68165,2.06042,1.14584,0.000450984,0.000450984,0.000450984
36,176.779,0.46551,0.79362,0.96388,0.82605,0.83333,0.72462,0.65216,0.62148,1.93845,1.07646,0.00043594,0.00043594,0.00043594
37,181.396,0.44681,0.7819,0.90987,0.82605,0.83333,0.72462,0.65216,0.62148,1.93845,1.07646,0.000419312,0.000419312,0.000419312
38,186.044,0.53694,0.94508,0.99219,0.82605,0.83333,0.72462,0.65216,0.62148,1.93845,1.07646,0.0004011,0.0004011,0.0004011
39,190.697,0.55926,0.88138,1.00813,0.82608,0.83333,0.72457,0.65626,0.54004,1.83842,1.01112,0.000381304,0.000381304,0.000381304
40,195.474,0.43994,0.74967,0.9238,0.82608,0.83333,0.72457,0.65626,0.54004,1.83842,1.01112,0.000359924,0.000359924,0.000359924
41,199.988,0.41547,1.55017,0.95838,0.82608,0.83333,0.72457,0.65626,0.54004,1.83842,1.01112,0.00033696,0.00033696,0.00033696
42,204.502,0.34004,1.36731,0.9338,0.82659,0.83333,0.77956,0.70994,0.50754,1.66729,0.9895,0.000312412,0.000312412,0.000312412
43,209.082,0.34192,1.20585,0.88327,0.82659,0.83333,0.77956,0.70994,0.50754,1.66729,0.9895,0.00028628,0.00028628,0.00028628
44,213.738,0.35316,1.3008,0.90715,0.82659,0.83333,0.77956,0.70994,0.50754,1.66729,0.9895,0.000258564,0.000258564,0.000258564
45,218.27,0.3106,1.30157,0.84829,0.82659,0.83333,0.77956,0.70994,0.50754,1.66729,0.9895,0.000229264,0.000229264,0.000229264
46,222.934,0.33334,1.3254,0.89079,0.82655,0.83333,0.75292,0.69415,0.49503,1.6065,0.98279,0.00019838,0.00019838,0.00019838
47,227.471,0.31868,1.2816,0.81841,0.82655,0.83333,0.75292,0.69415,0.49503,1.6065,0.98279,0.000165912,0.000165912,0.000165912
48,232.193,0.3166,1.20264,0.93008,0.82655,0.83333,0.75292,0.69415,0.49503,1.6065,0.98279,0.00013186,0.00013186,0.00013186
49,236.895,0.32238,1.19842,0.8388,0.82655,0.83333,0.75292,0.69415,0.49503,1.6065,0.98279,9.6224e-05,9.6224e-05,9.6224e-05
50,241.532,0.31479,1.21979,0.89326,0.82661,0.83333,0.72457,0.66863,0.48074,1.57083,0.97794,5.9004e-05,5.9004e-05,5.9004e-05
